MVS0409.02L DateCode 03/26 SIGMA 100 Measurements per MVS #1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
69,68,910,204,258,0,1,1
70,138,896,204,265,0,1,1
71,181,909,204,244,0,1,1
72,110,885,204,282,1,1,1
73,172,861,204,272,0,1,1
74,101,897,204,279,0,1,1
75,50,919,204,267,0,0,0
76,146,886,204,257,0,1,1
77,130,910,204,239,0,0,0
78,88,909,204,266,0,1,1
79,92,910,204,250,0,0,0
80,186,894,204,269,0,1,1
81,71,917,204,262,0,0,0
82,47,910,204,263,0,0,0
83,67,893,204,263,0,0,0
84,66,938,204,256,0,0,0
85,109,923,204,289,0,0,0
86,94,917,204,263,0,0,0
87,154,898,204,261,0,1,1
88,93,925,204,261,0,0,0
89,39,926,204,277,0,0,0
90,76,896,204,271,0,1,1
91,66,910,204,259,0,0,0
92,89,907,204,252,0,1,1
93,47,914,204,260,0,0,0
94,76,898,204,266,0,0,0
95,135,889,204,256,0,1,1
96,135,894,204,270,0,1,1
97,67,890,204,252,1,0,1
98,70,905,204,259,0,1,1
99,52,906,204,256,0,0,0
100,130,888,204,267,0,1,1
MVS0409.02L DateCode 03/26 SIGMA 100 Measurements per MVS  #5
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,78,888,204,255,0,0,0
2,71,913,204,286,0,1,1
3,54,885,204,244,0,0,0
4,67,873,204,264,0,0,0
5,115,855,204,271,0,1,1
6,82,860,204,249,0,0,0
7,69,865,204,257,0,1,1
8,272,799,204,243,0,1,1
9,57,883,204,277,0,1,1
10,62,880,204,274,0,0,0
11,119,897,204,256,0,0,0
12,89,875,204,253,0,0,0
13,72,896,204,260,0,0,0
14,61,900,204,257,0,0,0
15,69,868,204,269,0,0,0
16,72,868,204,247,0,0,0
17,90,868,204,255,0,0,0
18,106,859,204,256,0,0,0
19,60,871,204,259,0,0,0
20,66,900,204,254,0,0,0
21,172,870,204,258,0,1,1
22,110,886,204,253,0,1,1
23,79,909,204,265,1,1,1
24,113,904,204,204,1,0,1
25,81,884,204,258,0,0,0
26,86,859,204,264,0,1,1
27,59,875,204,256,0,0,0
28,102,881,204,263,0,0,0
29,98,826,204,235,0,0,0
30,105,865,204,266,0,1,1
31,86,869,204,261,0,1,1
32,75,890,204,253,0,1,1
33,83,906,204,261,0,0,0
34,108,875,204,262,0,0,0
35,70,890,204,257,0,0,0
36,49,890,204,251,0,0,0
37,125,851,204,252,0,1,1
38,60,882,204,253,0,0,0
39,78,861,204,270,0,0,0
40,52,854,204,253,0,0,0
41,70,870,204,261,0,0,0
42,73,872,204,255,0,0,0
43,329,873,204,236,0,1,1
44,381,871,204,204,1,0,1
45,66,865,204,249,0,1,1
46,77,880,204,251,0,1,1
47,99,871,204,247,0,0,0
48,74,875,204,256,0,0,0
49,115,859,204,253,0,1,1
50,81,850,204,244,0,1,1
51,56,875,204,258,0,0,0
