MVS0724.02 | 100 Measurements per MVS #1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
12,148,896,204,251,0,0,0
13,100,913,204,260,0,0,0
14,164,853,204,258,0,0,0
15,146,892,204,258,0,0,0
16,189,895,204,248,0,0,0
17,133,905,204,256,0,0,0
18,114,922,204,251,0,0,0
19,136,918,204,259,0,0,0
20,199,866,204,254,0,0,0
21,148,864,204,263,0,1,1
22,150,898,204,249,0,1,1
23,113,922,204,251,0,0,0
24,185,918,204,254,0,1,1
25,184,876,204,245,0,0,0
26,181,874,204,269,0,1,1
27,122,906,204,261,0,0,0
28,123,921,204,260,0,1,1
29,99,941,204,247,0,0,0
30,111,939,204,278,0,0,0
31,128,931,204,256,0,0,0
32,132,927,204,253,0,0,0
33,211,844,204,262,0,0,0
34,118,880,204,283,0,0,0
35,152,910,204,252,0,0,0
36,172,911,204,257,0,1,1
37,164,924,204,270,0,1,1
38,115,951,204,274,0,0,0
39,101,942,204,283,0,0,0
40,140,919,204,268,0,0,0
41,164,901,204,243,0,0,0
42,126,926,204,267,0,1,1
43,92,922,204,261,0,0,0
44,182,882,204,256,0,0,0
45,185,853,204,250,0,1,1
46,198,867,204,244,0,1,1
47,199,890,204,249,0,1,1
48,152,926,204,257,0,1,1
49,113,905,204,265,0,0,0
50,201,869,204,254,0,1,1
51,186,841,204,246,0,1,1
52,152,883,204,259,0,0,0
53,174,866,204,247,0,0,0
54,170,894,204,267,0,1,1
55,166,901,204,264,0,1,1
56,139,907,204,258,0,0,0
57,143,918,204,246,0,1,1
58,157,909,204,239,0,1,1
59,90,935,204,255,0,0,0
60,108,951,204,257,0,0,0
61,155,931,204,253,0,1,1
62,146,929,204,248,0,0,0
63,130,934,204,260,0,0,0
64,107,953,204,256,0,0,0
65,121,934,204,251,0,0,0
66,110,938,204,276,0,0,0
67,136,882,204,284,0,0,0
68,163,853,204,265,0,0,0
69,149,901,204,250,0,0,0
70,144,937,204,252,0,0,0
71,165,927,204,250,0,0,0
72,142,930,204,253,0,0,0
73,115,925,204,262,0,0,0
74,154,886,204,256,0,0,0
75,152,917,204,251,0,1,1
76,128,925,204,252,0,0,0
77,169,851,204,248,0,0,0
78,137,906,204,261,0,1,1
79,150,884,204,262,0,1,1
80,174,916,204,257,0,1,1
81,116,928,204,253,0,0,0
82,89,960,204,253,0,0,0
83,154,885,204,253,0,0,0
84,140,908,204,254,0,0,0
85,132,908,204,248,0,0,0
86,108,894,204,253,0,0,0
87,134,879,204,256,0,1,1
88,169,904,204,267,0,1,1
89,133,907,204,253,0,1,1
90,170,879,204,277,0,1,1
91,162,871,204,248,0,0,0
