MVS0409.02L SIGMA 100 Measurements per MVS | MVS Nr.: 1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
68,84,782,203,264,0,1,1
69,73,781,203,253,0,0,0
70,92,791,203,261,0,1,1
71,72,786,203,264,0,0,0
72,80,783,203,259,0,1,1
73,98,755,203,257,0,1,1
74,76,776,203,247,0,0,0
75,69,750,203,247,0,0,0
76,78,794,203,259,0,1,1
77,106,734,203,254,0,0,0
78,88,796,203,253,0,1,1
79,70,825,203,267,0,1,1
80,68,788,203,265,0,0,0
81,78,808,203,267,0,0,0
82,95,832,203,267,0,0,0
83,102,796,203,265,0,0,0
84,81,801,203,262,0,0,0
85,74,824,203,264,0,0,0
86,55,843,203,265,0,0,0
87,92,811,203,262,0,0,0
88,87,834,203,258,0,1,1
89,75,795,203,262,0,0,0
90,78,760,203,242,0,1,1
91,68,817,203,259,0,0,0
92,82,808,203,280,0,1,1
93,70,770,203,246,0,0,0
94,78,778,203,262,0,1,1
95,79,776,203,254,0,0,0
96,64,755,203,256,0,0,0
97,59,768,203,251,0,0,0
98,64,794,203,250,0,0,0
99,65,808,203,258,0,0,0
100,103,788,203,266,0,1,1
MVS0409.02L SIGMA 100 Measurements per MVS | MVS Nr.: 4
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,76,740,203,256,0,0,0
2,95,783,203,264,0,0,0
3,106,836,203,272,0,0,0
4,133,743,203,265,0,0,0
5,89,726,203,254,0,1,1
6,76,713,203,249,0,0,0
7,101,753,203,252,0,0,0
8,76,761,203,259,0,0,0
9,77,759,203,248,0,0,0
10,92,775,203,263,0,0,0
11,105,770,203,249,0,1,1
12,104,759,203,252,0,1,1
13,91,764,203,249,0,1,1
14,109,759,203,258,0,0,0
15,113,740,203,253,0,1,1
16,87,756,203,261,0,0,0
17,122,772,203,254,0,0,0
18,116,760,203,258,0,1,1
19,121,708,203,251,0,1,1
20,84,771,203,264,0,0,0
21,74,784,203,247,0,0,0
22,127,772,203,253,0,1,1
23,102,744,203,248,0,0,0
24,67,785,203,250,0,0,0
25,67,837,203,259,0,0,0
26,96,763,203,264,0,0,0
27,69,758,203,256,0,0,0
28,71,766,203,259,0,1,1
29,69,784,203,275,0,1,1
30,87,758,203,252,0,0,0
31,62,733,203,270,0,0,0
32,76,767,203,241,0,0,0
33,100,772,203,252,0,0,0
34,86,750,203,242,0,0,0
35,134,735,203,258,0,0,0
36,106,751,203,266,0,0,0
37,123,722,203,237,0,0,0
38,105,759,203,269,0,0,0
39,129,735,203,270,0,0,0
40,112,786,203,264,0,1,1
41,133,779,203,260,0,0,0
