MVS0409.02L SIGMA 10000 Measurements
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
243,22,812,203,302,0,0,0
244,26,775,203,293,0,0,0
245,22,838,203,285,0,0,0
246,28,752,203,279,0,0,0
247,20,813,203,270,0,0,0
248,16,775,203,285,0,0,0
249,29,796,203,279,0,0,0
250,19,844,203,304,0,0,0
251,12,804,203,306,0,0,0
252,22,804,203,272,0,0,0
253,32,791,203,303,0,0,0
254,33,813,203,268,0,0,0
255,22,728,203,280,0,0,0
256,30,804,203,286,0,0,0
257,37,801,203,263,0,0,0
258,32,749,203,278,0,0,0
259,28,716,203,285,0,0,0
260,23,774,203,279,0,0,0
261,19,825,203,305,0,0,0
262,18,806,203,294,0,0,0
263,19,829,203,317,0,0,0
264,22,823,203,296,0,0,0
265,20,807,203,274,0,0,0
266,14,868,203,306,0,0,0
267,25,810,203,291,0,0,0
268,35,880,203,300,0,0,0
269,29,828,203,284,0,0,0
270,34,858,203,274,0,0,0
271,30,786,203,280,0,0,0
272,22,824,203,296,0,0,0
273,31,854,203,274,0,0,0
274,28,774,203,295,0,0,0
275,13,800,203,283,0,0,0
276,12,817,203,300,0,0,0
277,21,858,203,319,0,0,0
278,19,819,203,295,0,0,0
279,23,816,203,281,0,0,0
280,17,649,203,234,0,0,0
281,38,766,203,286,0,0,0
282,27,709,203,282,0,0,0
283,23,748,203,275,0,0,0
284,21,699,203,279,0,0,0
285,25,817,203,299,0,0,0
286,31,830,203,282,0,0,0
287,31,810,203,275,0,0,0
288,32,800,203,277,0,0,0
289,24,809,203,277,0,0,0
290,29,812,203,282,0,0,0
291,25,836,203,277,0,0,0
292,27,888,203,288,0,0,0
293,40,802,203,292,0,0,0
294,21,819,203,300,0,0,0
295,15,699,203,305,0,0,0
296,18,787,203,265,0,0,0
297,29,847,203,292,0,0,0
298,35,749,203,273,0,0,0
299,13,927,203,303,0,0,0
300,19,771,203,297,0,0,0
301,14,812,203,306,0,0,0
302,25,751,203,300,0,0,0
303,30,807,203,232,0,0,0
304,34,784,203,283,0,0,0
305,22,776,203,270,0,0,0
306,37,803,203,277,0,0,0
307,28,776,203,276,0,0,0
308,17,766,203,284,0,0,0
309,20,792,203,298,0,0,0
310,28,831,203,281,0,0,0
311,32,750,203,238,0,0,0
312,32,847,203,295,0,0,0
313,27,847,203,286,0,0,0
314,34,853,203,272,0,0,0
315,26,865,203,294,0,0,0
316,18,836,203,305,0,0,0
317,21,741,203,291,0,0,0
318,17,864,203,282,0,0,0
319,23,819,203,297,0,0,0
320,19,798,203,301,0,0,0
321,29,817,203,278,0,0,0
322,30,811,203,285,0,0,0
323,24,830,203,296,0,0,0
324,25,812,203,279,0,0,0
325,24,831,203,294,0,0,0
326,41,847,203,279,0,0,0
327,31,862,203,298,0,0,0
328,38,827,203,274,0,0,0
329,21,857,203,309,0,0,0
330,26,833,203,305,0,0,0
331,25,890,203,297,0,0,0
332,26,761,203,305,0,0,0
333,35,824,203,274,0,0,0
334,35,836,203,284,0,0,0
335,30,793,203,299,0,0,0
336,19,774,203,306,0,0,0
337,22,798,203,271,0,0,0
338,25,795,203,278,0,0,0
339,24,759,203,271,0,0,0
340,29,793,203,300,0,0,0
341,31,865,203,302,0,0,0
342,18,894,203,328,0,0,0
343,24,858,203,296,0,0,0
344,14,804,203,300,0,0,0
345,20,808,203,282,0,0,0
346,29,828,203,274,0,0,0
347,26,832,203,300,0,0,0
348,24,779,203,305,0,0,0
349,24,771,203,270,0,0,0
350,27,816,203,284,0,0,0
351,35,833,203,294,0,0,0
352,36,785,203,272,0,0,0
353,44,798,203,286,0,0,0
354,16,791,203,305,0,0,0
355,33,823,203,284,0,0,0
356,14,723,203,306,0,0,0
357,19,781,203,276,0,0,0
358,33,849,203,279,0,0,0
359,20,877,203,267,0,0,0
360,23,822,203,300,0,0,0
361,25,771,203,273,0,0,0
362,22,805,203,283,0,0,0
363,21,838,203,308,0,0,0
364,31,803,203,272,0,0,0
365,21,859,203,305,0,0,0
366,33,722,203,276,0,0,0
367,22,768,203,284,0,0,0
368,16,838,203,297,0,0,0
369,24,696,203,292,0,0,0
370,17,805,203,287,0,0,0
371,27,842,203,297,0,0,0
372,34,804,203,293,0,0,0
373,24,811,203,291,0,0,0
374,22,815,203,305,0,0,0
375,31,841,203,277,0,0,0
376,25,809,203,307,0,0,0
377,29,807,203,278,0,0,0
378,36,711,203,276,0,0,0
379,18,308,203,274,0,1,1
380,23,546,203,203,1,0,1
381,24,877,203,279,0,0,0
382,27,816,203,287,0,0,0
383,26,763,203,306,0,0,0
384,29,822,203,275,0,0,0
385,22,843,203,291,0,0,0
386,41,846,203,275,0,0,0
387,33,868,203,286,0,0,0
388,17,897,203,295,0,0,0
389,21,846,203,317,0,0,0
390,22,836,203,293,0,0,0
391,13,806,203,306,0,0,0
392,13,800,203,306,0,0,0
393,21,754,203,283,0,0,0
394,37,845,203,285,0,0,0
395,22,838,203,270,0,0,0
396,26,873,203,293,0,0,0
397,20,824,203,293,0,0,0
398,39,855,203,284,0,0,0
399,28,867,203,293,0,0,0
400,22,856,203,317,0,0,0
401,20,868,203,305,0,0,0
402,25,939,203,312,0,0,0
403,18,853,203,317,0,0,0
404,10,923,203,306,0,0,0
405,26,782,203,306,0,0,0
406,22,759,203,291,0,0,0
407,31,847,203,282,0,0,0
408,31,878,203,276,0,0,0
409,28,789,203,305,0,0,0
410,25,805,203,290,0,0,0
411,32,858,203,306,0,0,0
412,31,852,203,305,0,0,0
413,21,818,203,307,0,0,0
414,23,846,203,293,0,0,0
415,35,863,203,307,0,0,0
416,16,808,203,292,0,0,0
417,18,821,203,280,0,0,0
418,19,843,203,287,0,0,0
419,23,851,203,305,0,0,0
420,13,817,203,306,0,0,0
421,26,856,203,307,0,0,0
422,28,879,203,277,0,0,0
423,20,861,203,306,0,0,0
424,25,877,203,304,0,0,0
425,29,837,203,294,0,0,0
426,25,808,203,282,0,0,0
427,24,808,203,306,0,0,0
428,31,303,203,294,0,1,1
429,18,507,203,203,1,0,1
430,34,814,203,280,0,0,0
431,33,805,203,307,0,0,0
432,12,811,203,306,0,0,0
433,21,790,203,281,0,0,0
434,30,810,203,286,0,0,0
435,28,852,203,277,0,0,0
436,21,842,203,279,0,0,0
437,17,775,203,307,0,0,0
438,19,803,203,295,0,0,0
439,29,736,203,235,0,0,0
440,35,815,203,283,0,0,0
441,23,808,203,293,0,0,0
442,22,816,203,234,0,0,0
443,27,313,203,284,0,1,1
444,27,553,203,203,1,0,1
445,28,855,203,286,0,0,0
446,28,890,203,293,0,0,0
447,23,879,203,275,0,0,0
448,32,877,203,293,0,0,0
449,20,820,203,306,0,0,0
450,17,825,203,305,0,0,0
451,18,371,203,317,0,1,1
452,18,32,203,203,1,1,1
453,21,464,203,203,1,0,1
454,33,787,203,282,0,0,0
455,23,856,203,284,0,0,0
456,26,752,203,306,0,0,0
457,14,892,203,306,0,0,0
458,32,800,203,294,0,0,0
459,31,748,203,305,0,0,0
460,34,871,203,286,0,0,0
461,22,885,203,276,0,0,0
462,22,854,203,306,0,0,0
463,39,868,203,277,0,0,0
464,28,831,203,306,0,0,0
465,24,815,203,280,0,0,0
466,23,852,203,280,0,0,0
467,38,809,203,278,0,0,0
468,14,880,203,281,0,0,0
469,15,853,203,234,0,0,0
470,17,866,203,306,0,0,0
471,22,836,203,280,0,0,0
472,21,887,203,344,0,0,0
473,31,848,203,283,0,0,0
474,36,797,203,282,0,0,0
475,37,854,203,305,0,0,0
476,26,819,203,270,0,0,0
477,27,788,203,305,0,0,0
478,26,798,203,275,0,0,0
479,18,897,203,281,0,0,0
480,18,917,203,305,0,0,0
481,19,807,203,305,0,0,0
482,17,804,203,292,0,0,0
483,17,839,203,279,0,0,0
484,35,799,203,292,0,0,0
485,28,888,203,304,0,0,0
486,22,802,203,276,0,0,0
487,27,814,203,280,0,0,0
488,32,759,203,281,0,0,0
489,30,777,203,275,0,0,0
490,17,801,203,280,0,0,0
491,27,820,203,285,0,0,0
492,23,848,203,275,0,0,0
493,12,822,203,306,0,0,0
494,28,813,203,306,0,0,0
495,19,777,203,306,0,0,0
496,24,836,203,306,0,0,0
497,31,853,203,277,0,0,0
498,31,737,203,278,0,0,0
499,30,784,203,278,0,0,0
500,26,811,203,274,0,0,0
501,31,797,203,286,0,0,0
502,29,815,203,280,0,0,0
503,33,763,203,283,0,0,0
504,18,787,203,277,0,0,0
505,18,853,203,305,0,0,0
506,24,852,203,306,0,0,0
507,27,874,203,306,0,0,0
508,25,810,203,274,0,0,0
509,14,914,203,293,0,0,0
510,24,889,203,293,0,0,0
511,24,861,203,298,0,0,0
512,18,858,203,305,0,0,0
513,28,853,203,306,0,0,0
514,15,827,203,293,0,0,0
515,20,772,203,306,0,0,0
516,26,758,203,281,0,0,0
517,22,843,203,283,0,0,0
518,18,865,203,291,0,0,0
519,20,889,203,306,0,0,0
520,34,840,203,278,0,0,0
521,36,879,203,276,0,0,0
522,30,865,203,285,0,0,0
523,26,908,203,268,0,0,0
524,10,910,203,306,0,0,0
525,34,854,203,311,0,0,0
526,21,815,203,234,0,0,0
527,23,351,203,306,0,1,1
528,20,508,203,203,1,0,1
529,19,860,203,276,0,0,0
